predicted,actual
0.885289,
0.9178765,
0.9230158,
0.8927697,
0.920729,
0.9066827,1.0
0.9047439,1.0
0.9586998,
0.9686281,
0.9592259,
0.97797215,1.0
0.96621543,1.0
0.97230726,
0.9455335,
0.9513388,
0.9528492,
0.96820116,
0.9435666,
0.9743061,1.0
0.901172,
0.9537957,
0.7538267,
0.7886341,
0.89324826,
0.9312147,
0.9024018,
0.9591944,
0.9138161,
0.9202151,
0.9216202,1.0
0.963322,1.0
0.91746026,
0.8740589,
0.98658425,
0.9206036,
0.9446838,
0.98345864,
0.9633818,
0.9532523,1.0
0.72090983,1.0
0.9354133,
0.93282115,
0.9579157,1.0
0.96729773,
0.9383644,
0.96175003,
0.81215686,
0.9746488,
0.978568,
0.9294897,
0.97378796,
0.92196417,
0.96566796,1.0
0.9212804,1.0
0.9388619,
0.9509564,
0.81623,
0.9194552,
0.91659623,
0.9560844,
0.8239598,1.0
0.89763385,1.0
0.8873926,
0.8924811,
0.9573992,
0.9210997,
0.9293981,
0.9309064,
0.94253546,1.0
0.93092346,
0.88346016,
0.94654614,1.0
0.8690509,
0.9610218,
0.9164968,1.0
0.93556106,
0.8769983,1.0
0.9715533,
0.91510195,
0.9734345,
0.9347478,
0.95695716,
0.9579567,
0.8669767,
0.94334143,
0.9185407,
0.97266996,
0.96006817,
0.8358496,
0.9742968,
0.9162108,
0.9455762,
0.93206435,
0.9652344,
0.89107174,
0.9524622,
0.9385777,0.0
0.9183953,
0.9578104,
0.8982745,
0.9331969,
0.8032108,
0.9465549,1.0
0.857135,
0.97003025,
0.9205136,
0.9111453,
0.960912,
0.9525201,
0.97297806,
0.92509764,
0.94607,
0.960682,
0.95123535,
0.85712624,
0.9388158,1.0
0.7765603,
0.93006635,1.0
0.9649526,
0.95933837,
0.92464775,
0.9352502,
0.9557259,
0.9275273,
0.8762695,1.0
0.93213403,
0.9393457,
0.929095,
0.9382129,
0.93295854,
0.94766486,
0.9187187,
0.95750755,
0.7845195,
0.9529755,1.0
0.93524635,
0.97413176,
0.9658549,
0.94494134,0.0
0.9544226,
0.9825562,
0.9296924,
0.9274107,
0.97248703,
0.83649254,
0.8128128,1.0
0.9120589,1.0
0.9698658,
0.98020375,
0.8521597,
0.9487345,
0.91712713,
0.92166483,
0.93086714,
0.94790065,
0.850946,
0.89865094,
0.9777804,
0.831824,
0.9400991,
0.9297461,
0.94004035,
0.9696369,
0.92584586,
0.85470176,
0.95564556,
0.9554188,
0.90523696,
0.9363014,
0.9078186,
0.92354476,
0.9766585,
0.92140424,1.0
0.96787024,
0.91567034,
0.94446766,
0.8780695,
0.84042937,
0.8262616,0.0
0.9421403,
0.9802388,1.0
0.9569255,
0.9189431,
0.88565904,
0.93091756,1.0
0.7784074,
0.738722,
0.93423414,
0.9203882,1.0
0.93921465,1.0
0.9263585,
0.9690722,
0.9733036,1.0
0.9307827,
0.9008753,1.0
0.95394295,1.0
0.96133155,
0.95498776,
0.88523227,
0.9560017,1.0
0.9284468,
0.94578713,
0.9121449,
0.9589535,
0.95370954,
0.91616845,
0.8742355,
0.8194758,
0.97983414,
0.93357235,
0.8891357,
0.9274829,
0.8855787,
0.9212284,
0.9449405,1.0
0.9173375,
0.9713136,
0.93362993,
0.91505086,1.0
0.8173027,
0.9632136,
0.96637917,
0.8445932,1.0
0.9527254,
0.81496227,
0.9089775,
0.97377694,
0.8902264,
0.81623,
0.8618481,
0.97319305,0.0
0.9356306,1.0
0.9478841,
0.9711946,
0.98026544,
0.9005854,
0.9503208,
0.9445736,
0.92190844,1.0
0.81981504,
0.9420509,1.0
0.93044126,
0.94011176,
0.8301056,1.0
0.9212641,
0.8653008,
0.9662979,
0.9302193,
0.9307008,
0.9653448,
0.90579927,
0.9273172,
0.9770339,
0.93296427,
0.9723165,
0.8553358,
0.8844269,
0.9675125,
0.9283144,
0.8787114,
0.96558607,
0.9560412,
0.80520445,
0.9546423,
0.95977664,
0.917093,
0.9564067,
0.9706515,1.0
0.93976086,
0.839108,
0.85812306,
0.9593018,1.0
0.8801816,1.0
0.9596317,
0.9201564,
0.95623034,
0.90035444,
0.9137578,
0.9084004,
0.92198735,
0.9686573,1.0
0.92520523,
0.9367282,
0.9662247,
0.93477213,1.0
0.95129687,
0.91660887,
0.902605,
0.9534688,
0.9606656,1.0
0.90275794,
0.96456015,1.0
0.96206504,
0.85890967,
0.93030465,
0.9676284,1.0
0.97083133,1.0
0.84355754,
0.93194526,
0.9137509,
0.919644,
0.87431353,1.0
0.9472182,
0.86903965,
0.92223215,
0.9361828,
0.8718879,
0.9484268,
0.93701017,
0.9365709,
0.89868194,
0.9718017,
0.9552742,
0.96467394,0.0
0.96287405,
0.8540257,
0.9404114,1.0
0.974981,1.0
0.8942901,
0.95362663,
0.95496017,1.0
0.97036785,
0.9629425,
0.98105454,
0.8812305,
0.8368106,
0.77105683,1.0
0.7985547,
0.97496575,
0.95809144,1.0
0.8493697,
0.9240183,
0.92628527,
0.9221545,
0.98571235,1.0
0.88762337,
0.96273506,1.0
0.95445687,
0.9632602,0.0
0.8991813,
0.9756501,
0.96256393,
0.9081697,
0.946157,
0.9581916,
0.9492654,
0.97709626,1.0
0.94462836,
0.9288855,0.0
0.95378494,
0.8753848,
0.86673033,
0.90756935,1.0
0.9481505,
0.9706575,
0.76718515,
0.9576642,
0.9806348,
0.9582583,1.0
0.9491071,
0.9560126,
0.9763243,
0.9603393,
0.9250675,1.0
0.9375335,
0.92667186,
0.8778154,1.0
0.9271396,
0.96395475,
0.9740786,
0.9253212,1.0
0.93259686,
0.8377558,
0.8989824,
0.84997594,1.0
0.9618202,
0.9532949,
0.9403758,
0.92957175,1.0
0.9665297,
0.91967857,
0.9783124,
0.96150905,
0.9133344,1.0
0.94344074,1.0
0.9404753,
0.9360636,
0.9157802,
0.9628501,
0.92440027,1.0
0.91294473,
0.9235907,
0.9438298,
0.9572081,
0.86996764,
0.92474777,
0.91174465,
0.82679874,
0.8297461,
0.93870986,1.0
0.91486955,
0.9736092,1.0
0.9517279,
0.9233834,
0.83519113,
0.9763798,
0.87685996,1.0
0.9639808,
0.9368603,
0.962106,1.0
0.97614485,
0.89364654,
0.90368134,
0.95883536,
0.9682174,
0.9110734,
0.97313446,
0.88126445,
0.9169729,
0.83105725,
0.96122766,
0.8703779,
0.9481666,
0.9720249,
0.97407913,
0.9303418,
0.92566997,
0.9241242,
0.9591858,
0.894065,
0.9694668,
0.95671576,1.0
0.8903662,
0.8402537,
0.940362,
0.93800116,
0.9161703,
0.92593265,
0.9507901,
0.975398,
0.9696184,
0.8725647,
0.85443234,
0.83702856,
0.96802485,
0.96429425,
0.94994426,
0.9438811,1.0
0.8504564,
0.93548334,
0.9407952,
0.87686765,
0.96731323,1.0
0.9318319,
0.8363159,
0.964023,
0.9289346,
0.92299473,
0.9354383,1.0
0.83874565,1.0
0.80822486,
0.9490391,0.0
0.97929025,
0.9066421,
0.8272028,
0.9053171,
0.9696806,1.0
0.91464716,
0.7933521,
0.70971316,
0.91965127,
0.90333277,
0.94611454,
0.93284863,1.0
0.8731603,1.0
0.94432694,1.0
0.8686393,1.0
0.8293285,1.0
0.96100533,
0.89086854,
0.9596309,
0.9786663,
0.94910336,
0.949898,1.0
0.8654585,
0.9385545,
0.88572466,
0.96644276,
0.9139064,1.0
0.9653827,
